127.0.0.1, 2016-10-15 02:35:43, GET, /posting_site/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000773
127.0.0.1, 2016-10-15 02:35:43, GET, /posting_site/static/js/web2py.js, HTTP/1.1, 304, 0.001743
127.0.0.1, 2016-10-15 02:35:44, GET, /posting_site/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.003430
127.0.0.1, 2016-10-15 02:35:44, GET, /posting_site/static/js/share.js, HTTP/1.1, 304, 0.002876
127.0.0.1, 2016-10-15 02:35:44, GET, /posting_site/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.005805
127.0.0.1, 2016-10-15 02:35:44, GET, /posting_site/static/images/gplus-32.png, HTTP/1.1, 304, 0.002343
127.0.0.1, 2016-10-15 02:35:44, GET, /posting_site/static/images/facebook.png, HTTP/1.1, 304, 0.001186
127.0.0.1, 2016-10-15 02:35:44, GET, /posting_site/static/images/twitter.png, HTTP/1.1, 304, 0.005145
127.0.0.1, 2016-10-15 02:35:44, GET, /posting_site/static/images/favicon.ico, HTTP/1.1, 200, 0.000900
127.0.0.1, 2016-10-15 02:35:52, GET, /edit/edit/8, HTTP/1.1, 200, 0.041445
127.0.0.1, 2016-10-15 02:35:53, GET, /posting_site/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001141
127.0.0.1, 2016-10-15 02:35:53, GET, /posting_site/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001760
127.0.0.1, 2016-10-15 02:35:53, GET, /posting_site/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.002567
127.0.0.1, 2016-10-15 02:35:53, GET, /posting_site/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001763
127.0.0.1, 2016-10-15 02:35:53, GET, /posting_site/static/css/myapp.css, HTTP/1.1, 304, 0.000764
127.0.0.1, 2016-10-15 02:35:53, GET, /posting_site/static/js/jquery.js, HTTP/1.1, 304, 0.007496
127.0.0.1, 2016-10-15 02:35:53, GET, /posting_site/static/js/web2py.js, HTTP/1.1, 304, 0.000784
127.0.0.1, 2016-10-15 02:35:53, GET, /posting_site/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001138
127.0.0.1, 2016-10-15 02:35:53, GET, /posting_site/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000791
127.0.0.1, 2016-10-15 02:35:53, GET, /posting_site/static/js/calendar.js, HTTP/1.1, 304, 0.001264
127.0.0.1, 2016-10-15 02:35:53, GET, /posting_site/static/css/calendar.css, HTTP/1.1, 304, 0.001540
127.0.0.1, 2016-10-15 02:35:53, GET, /posting_site/static/js/share.js, HTTP/1.1, 304, 0.000853
127.0.0.1, 2016-10-15 02:35:53, GET, /posting_site/static/images/twitter.png, HTTP/1.1, 304, 0.002404
127.0.0.1, 2016-10-15 02:35:53, GET, /posting_site/static/images/gplus-32.png, HTTP/1.1, 304, 0.000867
127.0.0.1, 2016-10-15 02:35:53, GET, /posting_site/static/images/facebook.png, HTTP/1.1, 304, 0.001246
127.0.0.1, 2016-10-15 02:35:53, GET, /posting_site/static/images/favicon.ico, HTTP/1.1, 200, 0.000891
127.0.0.1, 2016-10-15 02:36:18, GET, /, HTTP/1.1, 200, 0.050457
127.0.0.1, 2016-10-15 02:36:20, GET, /edit, HTTP/1.1, 200, 0.034710
127.0.0.1, 2016-10-15 02:36:21, GET, /, HTTP/1.1, 200, 0.056706
127.0.0.1, 2016-10-15 02:36:37, GET, /edit, HTTP/1.1, 200, 0.041536
127.0.0.1, 2016-10-15 02:36:41, GET, /edit, HTTP/1.1, 200, 0.114566
127.0.0.1, 2016-10-15 02:36:55, GET, /edit, HTTP/1.1, 200, 0.031650
127.0.0.1, 2016-10-15 02:36:57, GET, /edit, HTTP/1.1, 200, 0.036035
127.0.0.1, 2016-10-15 02:36:59, GET, /edit, HTTP/1.1, 200, 0.097946
127.0.0.1, 2016-10-15 02:36:59, GET, /edit, HTTP/1.1, 200, 0.078026
127.0.0.1, 2016-10-15 02:37:01, GET, /edit, HTTP/1.1, 200, 0.062235
127.0.0.1, 2016-10-15 02:37:03, GET, /edit, HTTP/1.1, 200, 0.034984
127.0.0.1, 2016-10-15 02:37:32, GET, /edit, HTTP/1.1, 200, 0.039447
127.0.0.1, 2016-10-15 02:37:32, GET, /posting_site/static/css/calendar.css, HTTP/1.1, 304, 0.000913
127.0.0.1, 2016-10-15 02:37:32, GET, /posting_site/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001589
127.0.0.1, 2016-10-15 02:37:32, GET, /posting_site/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002018
127.0.0.1, 2016-10-15 02:37:32, GET, /posting_site/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000841
127.0.0.1, 2016-10-15 02:37:32, GET, /posting_site/static/css/myapp.css, HTTP/1.1, 304, 0.006673
127.0.0.1, 2016-10-15 02:37:32, GET, /posting_site/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.000939
127.0.0.1, 2016-10-15 02:37:32, GET, /posting_site/static/js/jquery.js, HTTP/1.1, 304, 0.006136
127.0.0.1, 2016-10-15 02:37:32, GET, /posting_site/static/js/calendar.js, HTTP/1.1, 304, 0.001163
127.0.0.1, 2016-10-15 02:37:32, GET, /posting_site/static/js/web2py.js, HTTP/1.1, 304, 0.001378
127.0.0.1, 2016-10-15 02:37:32, GET, /posting_site/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002104
127.0.0.1, 2016-10-15 02:37:32, GET, /posting_site/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000842
127.0.0.1, 2016-10-15 02:37:32, GET, /posting_site/static/js/share.js, HTTP/1.1, 304, 0.000774
127.0.0.1, 2016-10-15 02:37:33, GET, /posting_site/static/images/twitter.png, HTTP/1.1, 304, 0.002465
127.0.0.1, 2016-10-15 02:37:33, GET, /posting_site/static/images/facebook.png, HTTP/1.1, 304, 0.001665
127.0.0.1, 2016-10-15 02:37:33, GET, /posting_site/static/images/gplus-32.png, HTTP/1.1, 304, 0.001288
127.0.0.1, 2016-10-15 02:37:33, GET, /posting_site/static/images/favicon.ico, HTTP/1.1, 200, 0.000586
127.0.0.1, 2016-10-15 02:37:33, GET, /, HTTP/1.1, 200, 0.077862
127.0.0.1, 2016-10-15 02:38:45, GET, /, HTTP/1.1, 200, 0.053836
